GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
100287102,5.864295101187413,-0.9115893152986969,0.425079574761474,-2.144514508395797,0.0319916842007306,0.27827396204073895
653635,382.13712777320137,-0.27123036901179287,0.09211330002964488,-2.94452993134002,0.0032344565952890586,0.06653649820899564
102466751,12.122704284284556,-0.571587232785139,0.2568010344734724,-2.225798015016112,0.02602771384499245,0.24791076611657983
107985730,1.500676295816571,-0.9360450257075315,0.688882288889641,-1.358788055382109,0.17421375940698136,0.6224818364487356
645520,4.2974280527968185,-0.277118656104406,0.4651130158792141,-0.5958092907388586,0.5513026363765633,0.8892652970245917
100996442,34.23951274827861,-0.24117606950817083,0.20070350590344255,-1.2016534958995655,0.22949780572005674,0.6815972566808114
729737,70.85037868702639,-0.5734127147632567,0.2257580273567694,-2.539943857044261,0.01108702647290413,0.14826891916250018
102725121,7.967247938717579,-0.9337294385365379,0.4345169671453888,-2.1488906283010882,0.031643070891142246,0.2762593493988384
102723897,423.43147383014804,-0.205325508400684,0.11315119361280115,-1.8146119527762092,0.06958356432952621,0.4178159768303001
102465909,10.963842075461928,-0.6290584863835188,0.2631224847815919,-2.3907439415741174,0.016814275022118085,0.1913783311301603
107985721,2.9791864829319032,-0.7562119742295775,0.5297294805276062,-1.4275436841393019,0.1534232429618666,0.5891390134402937
112268260,19.666254187973284,-0.09703877838758454,0.3197789435639674,-0.3034558101483416,0.761542519057839,0.9548562867482708
100132287,103.25825596786058,-0.4119454984214523,0.16523077380323134,-2.493152388864477,0.012661449243335694,0.16169218534908864
105378947,3.991821116205022,-0.6787723620400117,0.4576358851951683,-1.4832148963810718,0.1380173246644364,0.5648821550691975
113219467,3156.809654898243,0.2800857393628906,0.19609301359412645,1.4283310467277146,0.15319659568129307,0.5886849291550593
81399,1.8386741682558565,0.016687978081122653,0.6171245170351752,0.027041508837302383,0.9784266268603418,0.9968989025191688
100133331,100.3249981146275,-0.32604628157438115,0.14775488650659516,-2.2066700417371834,0.027337119686206682,0.2553467223436888
107984841,18.251372670578434,-0.2519555309581207,0.2516442858452429,-1.0012368455410476,0.31671231720309134,0.7612436911628302
107984847,29.019360976931978,-0.2086460839922865,0.23817141644377857,-0.8760332667439896,0.38101194911343383,0.8058747520494356
107984849,3.3967933593202395,-0.30478771240943003,0.4898453056930524,-0.6222121736538934,0.5338023622751464,0.8797640190300656
100288069,26.17606265727623,-0.6638210287859987,0.23931779369553455,-2.7738055684673686,0.00554047805937151,0.09426353783958734
105378580,20.89549708333336,-0.21498419641687133,0.23882842627746345,-0.9001616757592723,0.3680342178836674,0.796891141863943
400728,7.62360163384092,-0.5348307569731607,0.3585961351555853,-1.4914571143972646,0.13584152258993631,0.5607785489734107
79854,28.24015664634477,-0.18065038157090557,0.1967925334992248,-0.9179737582453412,0.3586326044752016,0.7902146833501942
643837,379.46266414557925,0.012446371591452942,0.15063959327393206,0.08262350767782355,0.9341509087577786,0.990607272051539
107984850,1.2487907541283831,1.1374982423040945,1.0984886259735944,1.0355120803330355,0.300429827753663,
284593,2.06056416309847,-0.3756160512866307,0.6007811073783499,-0.6252128215644462,0.5318313879262349,0.8789887135132946
284600,7.982575239672597,0.10825957521701524,0.5113779213910791,0.21170169983585024,0.832339761881339,0.9746268736840118
100130417,17.34947652505167,0.29056976754898395,0.6173441875400691,0.470677092963031,0.6378713450587437,0.9212464060128384
107985728,28.27063387623045,0.11700042655350427,0.6912856648081029,0.16925047416683078,0.8655996297694774,0.9797066382211129
148398,167.13401086671158,-0.23106943742312105,0.29509564168039354,-0.7830323623463855,0.4336081080933424,0.835045086219319
